BNG Habitat,UKHAB Code,Level 1,Level 2 code,Level 2 Label,Level 3 code,Level 3 Label,Level 4 code,"Level 4 Label
(Priority Habitats in Bold)",Definition Page
"Rocky shore - Low energy littoral rock - on peat, clay or chalk",A1.3 PCC,Intertidal,A1,Rocky shore,,"Low energy littoral rock  - on bedrock including chalk, peat or clay",,,
Rocky shore - Features of littoral rock,A1.4,Intertidal,A1,Rocky shore,,Features of littoral rock,,,
"Rocky shore - Features of littoral rock - on peat, clay or chalk",A1.PCC,Intertidal,A1,Rocky shore,,"Features of littoral rock - on bedrock including chalk, peat or clay",,,
Coastal saltmarsh - Saltmarshes and saline reedbeds,A2.5,Intertidal,A2,Coastal saltmarsh,,Coastal saltmarshes and saline reedbeds,,,
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds,ART_A2.5,Intertidal,,Coastal saltmarsh,,Artificial saltmarshes and saline reedbeds,,,
Intertidal sediment - Littoral coarse sediment,A2.1,Intertidal,A2,Intertidal sediment,,Littoral coarse sediment,,,
Intertidal sediment - Littoral mud,A2.3,Intertidal,A2,Intertidal sediment,,Littoral mud,,,
Intertidal sediment - Littoral mixed sediments,A2.4,Intertidal,A2,Intertidal sediment,,Littoral mixed sediments,,,
Intertidal sediment - Littoral seagrass,A2.6,Intertidal,A2,Intertidal sediment,,Littoral sediments dominated by aquatic angiosperms,,,
"Intertidal sediment - Littoral seagrass on peat, clay or chalk",A2.6 PCC,Intertidal,A2,Intertidal sediment,,"Littoral seagrass  - on peat, clay or chalk",,,
Intertidal sediment - Littoral biogenic reefs - Mussels,A2.7 M,Intertidal,,Intertidal sediment,, Littoral biogenic reefs - Mussels,,,
Intertidal sediment - Littoral biogenic reefs - Sabellaria,A2.7 S,Intertidal,A2,Intertidal sediment,,Littoral biogenic reefs - Sabellaria,,,
Intertidal sediment - Features of littoral sediment,A2.8,Intertidal,A2,Intertidal sediment,,Features of littoral sediment,,,
Intertidal sediment - Artificial littoral coarse sediment,ART_A2.1,Intertidal,A2,Intertidal sediment,,Artificial littoral coarse sediment,,,
Intertidal sediment - Artificial littoral mud,ART_A2.3,Intertidal,,Intertidal sediment,,Artificial littoral mud,,,
Intertidal sediment - Artificial littoral sand,ART_A2.21/A2.22/A2.23,Intertidal,,Intertidal sediment,,Artificial littoral sand,,,
Intertidal sediment - Artificial littoral muddy sand,ART_A2.24,Intertidal,A2,Intertidal sediment,,Artificial littoral mud,,,
Intertidal sediment - Artificial littoral mixed sediments,ART_A2.4,Intertidal,A2,Intertidal sediment,,Artificial littoral mixed sediments,,,
Intertidal sediment - Artificial littoral seagrass,ART_A2.6,Intertidal,A2,Intertidal sediment,,Artificial littoral seagrass,,,
Intertidal sediment - Artificial littoral biogenic reefs,ART_A2.7,Intertidal,A2,Intertidal sediment,,Artificial littoral biogenic reefs,,,
Intertidal sediment - Littoral sand,A2.21/A2.22/A2.23,Intertidal,,Intertidal sediment,,Littoral sand,,,
Intertidal sediment - Littoral muddy sand,A2.24,Intertidal,,Intertidal sediment,,Littoral muddy sand,,,
Intertidal hard structures - Artificial hard structures,ART_A1,Intertidal,,Intertidal hard structures,,Artificial hard structures,,,
Intertidal hard structures - Artificial features of hard structures,ART_A1.4,Intertidal,,Intertidal hard structures,,Artificial features of hard structures,,,
Intertidal hard structures - Artificial hard structures with integrated greening of grey infrastructure (IGGI),ART_A1_IGGI,Intertidal,,Intertidal hard structures,,Artificial hard structures with Integrated Greening of Grey Infrastructure (IGGI),,,
Watercourse footprint - Watercourse footprint,NE0017,Watercourse footprint,,,,,,,
Hedgerow - Species-rich native hedgerow with trees - associated with bank or ditch,h2a5,Hedgerow,,,,,,,
Hedgerow - Species-rich native hedgerow with trees,h2a5,Hedgerow,,,,,,,
Hedgerow - Species-rich native hedgerow - associated with bank or ditch,h2a,Hedgerow,,,,,,,
Hedgerow - Native hedgerow with trees - associated with bank or ditch,h2a5,Hedgerow,,,,,,,
Hedgerow - Species-rich native hedgerow,h2a5,Hedgerow,,,,,,,105
Hedgerow - Native hedgerow - associated with bank or ditch,h2a,Hedgerow,,,,,,,
Hedgerow - Native hedgerow with trees,1175,Hedgerow,,,,,,,
Hedgerow - Ecologically valuable line of trees,1175,Hedgerow,,,,,,,305
Hedgerow - Ecologically valuable line of trees - associated with bank or ditch,h2a,Hedgerow,,,,,,,
Hedgerow - Native hedgerow,h2a,Hedgerow,,,,,,,104
Hedgerow - Line of trees,1174,Hedgerow,,,,,,,304
Hedgerow - Line of trees - associated with bank or ditch,h2b,Hedgerow,,,,,,,
Hedgerow - Non-native and ornamental hedgerow,h2b,,,,,,,,107
Watercourses - Priority habitat,r1,Watercourses,,,,,,,
Watercourses - Other rivers and streams,r1,Watercourses,,,,,,,244
Watercourses - Ditches,191,Watercourses,,,,,,,316
Watercourses - Canals,r1,Watercourses,,,,,,,235
Watercourses - Culvert,r1,Watercourses,,,,,,,553
